"URL","Title","Content","q"
" msn.Expedia.com","Hotel","Best price guarantee on hotels at Expedia! Air, car, packages & more.","delhi hotel"
" www.hotels.com","delhi hotel","Shop Hotels.com Huge Selection. 25,000 Properties in 500 Cities","delhi hotel"
" www.universityofphoenixonline.com","Online Degree","University of Phoenix, more than 190 campuses and learning centers.","online degree"
" online.southuniversity.edu","Degree Online","Enroll Today To Begin Your Online Degree. Find More Information Here","online degree"
" www.losangelesluxuryhotels.com","Los Angeles Luxury Hotels","Wholesale rates from experts on luxury hotels in Los Angeles.","hotel LA"
" www.hotels.com","25,000+ Hotels","Large Selection of Hotels at Great Rates. Shop Hotels.com today!","hotel LA"
